id,Score,Rank
158023,77.74,1
175943,73.04,2
150516,71.39,3
172114,70.55,4
216334,67.66,5
224385,64.74,6
201313,64.02,7
221820,63.25,8
231628,62.62,9
220084,62.6,10
213717,62.53,11
206605,62.0,12
232609,60.51,13
157321,59.98,14
207659,58.84,15
209039,58.61,16
