id,Score,Rank
209658,77.9,8
201455,77.66,14
191740,77.61,18
223848,77.31,2
210008,77.17,7
219683,77.14,6
189125,76.96,16
230938,76.88,29
209297,76.82,13
189509,76.69,1
208333,76.41,24
162240,76.37,11
173474,76.26,51
138412,76.18,21
198784,75.77,26
190875,75.68,68
172233,75.6,71
221000,75.56,103
173909,75.47,19
156519,75.47,20
171897,75.36,17
183394,75.32,64
235569,75.1,22
207439,75.1,25
203535,74.92,55
186942,74.83,4
188337,74.77,117
230767,74.72,107
192575,74.71,100
202135,74.54,111
205498,74.48,3
221695,74.29,89
220971,74.23,5
203886,74.16,47
218339,73.74,23
219576,73.7,30
184826,73.59,36
191053,73.44,63
208450,73.27,44
224075,73.11,81
216393,73.06,41
231866,72.85,12
143745,72.76,65
180819,72.69,28
201262,72.67,48
199767,72.65,32
213296,72.62,42
232411,72.53,86
205633,72.51,46
192318,72.49,15
208141,72.48,54
192073,72.4,61
200478,72.34,96
161805,72.16,77
192242,72.15,123
167431,72.14,53
228251,72.11,39
213209,72.09,203
214771,71.96,211
172517,71.92,144
193158,71.91,66
202166,71.9,9
204102,71.83,102
223517,71.83,95
211338,71.8,135
199170,71.76,125
225199,71.74,84
198113,71.73,121
229473,71.68,153
178160,71.61,87
199827,71.6,49
186132,71.59,35
198648,71.56,50
198658,71.49,90
202828,71.42,82
198031,71.41,33
189461,71.41,34
215079,71.33,59
234201,71.33,120
164491,71.3,109
229261,71.24,67
189165,71.12,52
181573,71.08,101
198194,71.03,223
211408,70.98,85
218745,70.97,155
80,70.95,38
214294,70.92,147
215559,70.88,92
215060,70.85,175
235813,70.76,79
207984,70.75,134
226370,70.66,132
152536,70.52,295
206411,70.51,62
235163,70.47,194
152922,70.46,151
184469,70.43,110
211361,70.36,114
224294,70.35,58
246069,70.33,80
191269,70.25,129
212269,70.23,131
229723,70.22,105
172285,70.19,213
195020,70.17,343
175895,70.13,57
203629,70.12,133
230613,70.03,72
205192,70.02,31
201893,69.99,83
178487,69.92,266
216520,69.79,202
208777,69.78,43
213106,69.66,186
176944,69.53,37
221838,69.52,136
223570,69.48,274
186589,69.44,73
244517,69.4,128
224202,69.39,142
207553,69.34,199
199353,69.32,197
188541,69.3,156
142822,69.25,170
202107,69.24,189
222390,69.21,118
205654,69.09,275
192321,69.08,149
219998,69.07,185
230564,69.05,115
213556,69.04,224
216435,69.01,40
208268,69.0,45
220175,68.95,257
224030,68.95,97
183256,68.91,168
213725,68.9,205
236998,68.85,247
187042,68.85,289
198836,68.84,161
224158,68.83,160
215177,68.81,192
236311,68.8,94
184120,68.79,27
213480,68.74,171
216814,68.73,208
159240,68.7,126
229247,68.68,327
231150,68.67,300
173146,68.64,104
52306,68.63,183
222400,68.57,70
236221,68.56,141
178448,68.55,218
219510,68.53,187
214409,68.4,235
230042,68.39,112
146111,68.38,119
209407,68.35,252
202944,68.34,164
217605,68.34,91
214302,68.33,180
189280,68.27,106
184749,68.26,139
220475,68.24,99
225193,68.08,116
173130,68.03,314
240309,68.03,162
227230,68.02,286
198079,68.01,243
222988,68.0,172
230005,67.97,108
188499,67.96,184
189725,67.96,78
186578,67.95,249
192611,67.95,321
213666,67.93,69
236480,67.88,198
235424,67.88,113
199663,67.85,209
236999,67.85,201
194063,67.84,306
235042,67.84,98
194329,67.84,260
207887,67.83,217
162895,67.78,10
214606,67.77,150
230860,67.75,389
183546,67.74,88
208295,67.73,138
226773,67.68,167
189736,67.6,483
230107,67.58,344
165787,67.57,285
210583,67.55,137
211325,67.5,234
183517,67.44,526
236791,67.42,75
203798,67.39,259
231007,67.37,152
213313,67.36,182
190549,67.3,227
213242,67.29,145
189163,67.29,700
184001,67.27,516
223922,67.24,241
226249,67.22,521
152514,67.15,200
186116,67.13,214
239475,67.11,229
192231,67.06,465
226677,67.02,280
152991,67.01,288
184320,66.96,253
205726,66.96,195
239744,66.89,191
194089,66.86,222
233113,66.86,193
234468,66.86,169
231913,66.84,396
178461,66.82,356
242143,66.81,206
194792,66.76,466
202050,66.74,270
201368,66.73,237
206042,66.73,204
230686,66.73,261
204523,66.69,122
212476,66.68,124
155976,66.67,271
207657,66.62,221
203801,66.57,176
179731,66.53,258
189619,66.52,292
199183,66.52,256
138782,66.5,220
181383,66.46,157
220609,66.44,165
203593,66.43,313
222404,66.37,339
198749,66.33,318
214163,66.28,283
186139,66.28,179
190122,66.25,240
171321,66.24,225
176406,66.24,478
213030,66.22,148
196145,66.22,485
197926,66.21,130
221331,66.17,159
226754,66.16,246
199572,66.1,284
211818,66.09,154
188383,66.07,392
223330,66.06,428
233738,66.05,127
201887,66.03,287
183465,65.98,381
223004,65.98,355
212238,65.93,305
185132,65.9,60
219127,65.86,302
237238,65.86,242
228033,65.86,386
184482,65.85,511
225782,65.84,251
162891,65.83,316
233223,65.82,215
189715,65.81,146
167519,65.78,371
213439,65.76,244
183414,65.75,188
212459,65.74,299
189278,65.72,319
191090,65.67,375
205663,65.67,496
190779,65.64,181
212997,65.63,404
211504,65.61,264
216736,65.56,667
200746,65.54,357
167452,65.51,219
176636,65.5,400
193147,65.5,233
144511,65.45,377
179903,65.43,515
178120,65.43,587
207639,65.42,614
173160,65.4,278
172100,65.36,226
225855,65.34,364
164878,65.33,93
177912,65.27,469
223067,65.27,427
222391,65.24,293
186117,65.23,349
202305,65.23,269
223282,65.22,410
186993,65.22,279
52126,65.2,238
244993,65.09,607
234857,65.05,228
168650,65.04,248
243008,65.01,268
200713,65.01,216
203069,65.0,362
209717,64.97,411
199917,64.96,467
211437,64.96,398
234203,64.95,296
221924,64.94,463
229104,64.9,301
184220,64.9,332
205594,64.89,177
212791,64.87,265
210970,64.86,548
221328,64.84,444
200592,64.84,443
235407,64.83,281
169593,64.8,232
207613,64.78,536
186558,64.78,454
220948,64.77,56
202413,64.76,291
231950,64.75,350
139489,64.75,527
211506,64.74,359
169590,64.73,326
210917,64.71,347
220064,64.71,239
194149,64.69,432
193412,64.68,506
222973,64.66,703
214715,64.66,453
240709,64.64,416
224314,64.62,267
239053,64.6,143
202304,64.59,365
190821,64.56,431
233241,64.51,352
173470,64.51,333
177896,64.51,207
240351,64.5,346
212369,64.5,158
208144,64.48,173
198082,64.47,517
45605,64.45,311
189464,64.45,308
239361,64.45,472
199768,64.45,426
225151,64.44,190
230598,64.43,340
239808,64.38,385
238594,64.38,403
208371,64.37,532
215700,64.36,574
225028,64.35,76
202959,64.34,858
170915,64.33,290
214382,64.32,324
208294,64.31,578
241637,64.31,297
221467,64.31,178
214661,64.29,438
164858,64.27,303
241856,64.24,245
212242,64.22,351
229973,64.17,423
210700,64.15,542
211228,64.11,354
236830,64.11,309
241743,64.1,420
205163,64.04,322
216351,64.04,262
184334,64.02,543
225204,64.02,383
198952,64.01,481
215056,64.01,174
217845,64.01,348
208816,63.99,908
159040,63.99,413
225117,63.97,494
183768,63.95,595
179856,63.94,446
209268,63.94,499
192890,63.94,435
210401,63.92,393
183220,63.91,196
163908,63.91,414
229522,63.91,282
206544,63.83,166
143022,63.81,335
167180,63.81,474
176383,63.8,606
200983,63.77,407
161667,63.77,437
229248,63.76,436
149572,63.75,367
233781,63.74,360
219952,63.72,358
188825,63.7,379
190504,63.69,621
171970,63.67,585
183885,63.65,558
241670,63.64,255
186559,63.6,338
221521,63.55,492
221666,63.53,529
235201,63.52,681
177804,63.52,441
230574,63.5,580
231919,63.5,210
210548,63.49,230
185119,63.49,550
138698,63.47,341
228336,63.47,74
229606,63.46,298
241406,63.3,538
235642,63.28,501
205548,63.28,397
232736,63.24,263
218744,63.24,500
220815,63.23,329
209886,63.19,694
216303,63.18,601
212718,63.17,530
219594,63.17,342
209112,63.16,459
236710,63.14,672
199638,63.12,458
178043,63.09,502
208549,63.08,671
219990,63.06,424
232882,63.06,336
239950,63.04,273
203733,63.02,525
224509,63.02,471
215302,63.01,707
237385,62.99,634
210123,62.99,589
244582,62.98,277
205518,62.95,390
229118,62.93,537
102084,62.92,457
148705,62.91,783
188671,62.89,304
235164,62.87,331
203415,62.84,509
202131,62.83,508
226157,62.83,323
209316,62.8,450
199277,62.8,373
225629,62.8,495
206562,62.8,528
201446,62.78,394
242342,62.73,451
210739,62.73,624
232208,62.72,307
216485,62.7,577
190508,62.7,623
171954,62.69,337
239613,62.69,401
207460,62.66,742
223152,62.66,140
208316,62.65,384
243001,62.64,625
214390,62.64,434
166848,62.6,763
234119,62.59,439
158716,62.59,535
210488,62.57,412
233140,62.56,676
225016,62.55,605
222533,62.54,415
223085,62.54,567
197527,62.54,663
236298,62.53,473
208311,62.52,513
204845,62.51,724
223357,62.5,503
222645,62.47,452
224150,62.46,447
229465,62.46,642
225998,62.45,777
202491,62.43,212
243231,62.42,549
235521,62.4,402
229245,62.4,376
215338,62.39,622
178233,62.38,361
244033,62.35,733
216790,62.33,691
240343,62.32,594
228882,62.31,545
238282,62.26,522
243841,62.26,831
210409,62.25,395
199002,62.25,561
230994,62.24,422
244960,62.23,462
244315,62.22,369
240193,62.22,312
205089,62.22,310
212169,62.22,388
239894,62.21,547
228813,62.2,294
238922,62.18,315
177270,62.18,652
239837,62.16,345
212443,62.15,461
223918,62.14,760
236877,62.11,491
218471,62.1,564
222355,62.1,330
239945,62.09,556
224361,62.08,566
11811,62.07,718
211574,62.02,325
242021,62.01,430
199658,62.01,699
227746,62.0,510
237203,62.0,573
209954,61.96,619
202532,61.96,480
189492,61.91,554
223637,61.89,378
196940,61.87,809
177473,61.85,732
226652,61.83,370
199235,61.81,806
152501,61.8,677
172680,61.78,966
212682,61.78,684
147007,61.73,731
229062,61.7,857
181521,61.68,612
158676,61.65,524
244821,61.65,739
177618,61.64,780
241237,61.62,738
245275,61.61,353
222836,61.6,568
221934,61.6,531
228299,61.6,590
223575,61.58,317
239135,61.57,479
208455,61.56,417
229336,61.55,391
184013,61.55,775
243787,61.55,419
236368,61.54,421
232331,61.51,507
241238,61.5,641
191728,61.49,789
205232,61.49,382
198134,61.48,603
245209,61.47,866
233173,61.46,690
215431,61.42,656
215113,61.42,633
227982,61.41,442
201219,61.4,608
235874,61.4,276
220964,61.38,800
172265,61.37,868
228408,61.37,487
235167,61.37,576
162144,61.36,643
172952,61.35,575
207558,61.32,768
240658,61.32,475
229575,61.31,387
203417,61.28,971
229743,61.26,650
243745,61.26,618
224019,61.25,476
186507,61.25,747
239817,61.24,771
208370,61.22,602
240513,61.22,570
190492,61.22,799
235961,61.21,679
213580,61.21,272
226698,61.18,658
227995,61.17,753
217803,61.16,685
234914,61.15,668
234521,61.15,617
196339,61.14,399
228788,61.13,849
199311,61.13,835
235496,61.13,698
223759,61.12,406
176301,61.12,674
222611,61.12,572
216190,61.12,897
190424,61.1,250
138729,61.1,599
184352,61.08,717
225128,61.08,565
229721,61.06,493
243245,61.04,726
233074,61.03,374
24248,61.03,163
232770,61.02,366
183530,61.02,786
242256,61.01,736
215818,61.01,405
222256,61.0,408
180284,61.0,629
53818,60.94,729
172944,60.94,902
213957,60.94,519
237490,60.93,581
165738,60.92,744
226521,60.9,985
183665,60.88,825
186849,60.87,784
226775,60.86,593
235526,60.81,254
242634,60.78,772
208424,60.74,482
205491,60.74,582
235162,60.73,839
208543,60.73,754
139482,60.72,987
51921,60.72,778
176793,60.72,972
223186,60.7,687
233957,60.69,464
190200,60.68,933
186572,60.68,915
225808,60.67,710
225731,60.66,765
245754,60.66,791
234891,60.65,440
214590,60.63,363
218887,60.56,610
239731,60.54,893
230995,60.54,639
224590,60.53,559
53502,60.5,539
240201,60.48,368
171994,60.46,597
232250,60.46,555
208513,60.44,505
231445,60.43,716
190682,60.42,692
244438,60.41,921
230044,60.39,665
231241,60.38,888
112244,60.37,231
225479,60.36,769
238839,60.35,604
241833,60.34,907
212756,60.34,714
221631,60.27,584
237218,60.27,669
228044,60.26,773
155517,60.24,654
242836,60.23,752
241985,60.23,631
231514,60.22,562
224982,60.18,861
204222,60.14,853
235942,60.13,334
231027,60.12,498
237158,60.1,1084
237763,60.07,683
214746,60.06,460
215036,60.04,534
237762,60.0,682
153269,60.0,583
222937,60.0,596
207836,59.98,693
214690,59.93,380
198692,59.92,719
200061,59.91,963
239465,59.9,372
203424,59.9,1041
227288,59.9,782
236015,59.87,468
188818,59.86,750
225883,59.86,563
238514,59.83,847
240583,59.82,770
202333,59.82,819
238689,59.8,821
190568,59.79,648
224465,59.78,686
244675,59.77,456
242327,59.75,448
225542,59.75,540
213695,59.75,455
237848,59.72,616
243627,59.72,579
240685,59.7,484
221705,59.7,541
187722,59.68,636
204348,59.66,626
225623,59.66,814
243249,59.66,553
229508,59.65,832
234635,59.65,660
235799,59.65,879
200900,59.63,766
243688,59.63,928
215993,59.6,514
222308,59.57,645
228325,59.56,785
235568,59.56,552
221106,59.54,846
227869,59.53,942
239351,59.49,533
223989,59.49,1000
228271,59.48,512
224418,59.46,841
235656,59.46,833
229914,59.46,1063
242411,59.46,1107
189281,59.42,822
221398,59.4,860
241363,59.37,688
202721,59.37,696
237551,59.36,788
236997,59.34,520
228810,59.3,588
226770,59.3,779
242816,59.29,328
198811,59.28,664
220502,59.27,425
229441,59.26,630
224054,59.24,727
244735,59.22,1111
229910,59.21,477
220498,59.18,813
190934,59.17,863
167697,59.15,544
231834,59.15,838
171620,59.14,646
227754,59.14,758
205961,59.12,657
224608,59.12,320
234653,59.12,666
224488,59.11,697
237475,59.1,842
234520,59.09,615
230714,59.08,948
204371,59.08,737
213696,59.08,855
232752,59.07,804
227698,59.06,826
204814,59.03,798
238277,59.01,586
242737,59.01,409
189810,59.0,1030
231524,58.99,429
225295,58.96,709
243963,58.94,792
237317,58.93,796
238329,58.92,934
236689,58.92,749
237424,58.88,433
240677,58.87,620
224375,58.84,653
222697,58.83,600
220831,58.83,755
242771,58.82,1021
238038,58.82,862
243948,58.76,787
172928,58.76,504
242670,58.74,998
198162,58.74,1009
237452,58.72,748
216182,58.72,651
238786,58.71,518
235518,58.71,793
241465,58.7,489
235209,58.7,982
186539,58.69,844
240136,58.66,708
225101,58.66,637
245459,58.66,523
225999,58.65,917
202444,58.61,591
242344,58.6,976
236996,58.58,767
239405,58.57,725
238958,58.54,745
245016,58.53,881
190094,58.51,236
214689,58.5,449
20699,58.49,598
236898,58.49,644
240600,58.49,865
242116,58.47,856
240126,58.45,794
233083,58.45,746
194363,58.44,1017
239776,58.42,840
182802,58.38,613
232820,58.38,828
244670,58.35,854
241462,58.35,486
199442,58.33,713
203649,58.33,655
201534,58.32,730
225946,58.31,837
217190,58.24,647
246608,58.23,560
221856,58.22,756
232826,58.21,895
233276,58.18,628
227859,58.16,546
239452,58.16,818
239986,58.14,827
152724,58.14,970
232821,58.14,1225
182118,58.14,957
224675,58.1,906
246309,58.09,720
234196,58.08,689
211536,58.07,638
230890,58.05,931
245009,58.02,712
228780,58.01,673
220529,58.0,960
242204,57.97,882
236764,57.97,867
234162,57.96,761
240458,57.94,490
235151,57.93,661
242681,57.89,1001
211004,57.88,627
223717,57.86,926
233736,57.86,611
214747,57.83,922
225486,57.83,1047
224323,57.81,632
237605,57.81,884
244050,57.8,1020
242222,57.79,946
235504,57.76,932
242431,57.72,1057
246465,57.7,764
238320,57.7,701
225674,57.7,967
222382,57.68,675
167497,57.65,808
239623,57.65,876
240385,57.62,704
237161,57.61,649
241925,57.55,706
240873,57.54,930
221394,57.54,918
213709,57.51,774
244836,57.49,823
233017,57.47,488
236615,57.46,418
214458,57.45,852
240577,57.43,980
238578,57.42,790
242883,57.42,914
224685,57.42,977
239656,57.42,885
242994,57.41,1071
242434,57.4,875
218646,57.39,1010
208590,57.36,776
242254,57.34,811
234982,57.33,927
234087,57.3,743
230697,57.29,1012
244106,57.28,659
237329,57.26,878
190817,57.26,1027
204396,57.25,1085
210922,57.25,869
246189,57.24,845
213688,57.23,851
243788,57.21,735
225279,57.2,1004
238659,57.2,950
220677,57.2,795
242534,57.18,890
243066,57.18,1088
235661,57.17,901
239200,57.17,741
239636,57.14,715
242136,57.12,984
229263,57.09,968
245249,57.07,873
237382,57.07,734
228584,57.06,995
237732,57.05,757
211610,57.05,836
243719,57.03,1005
242823,56.97,965
243575,56.94,1179
244010,56.92,721
229355,56.91,870
224894,56.91,898
178008,56.88,1080
244624,56.87,445
246127,56.86,892
222227,56.84,941
213767,56.84,797
209668,56.83,705
226556,56.82,470
199893,56.82,920
239706,56.78,815
204134,56.78,497
246439,56.76,843
245702,56.73,981
222335,56.72,1089
228858,56.72,1055
236540,56.66,1003
245527,56.66,880
241588,56.64,762
237703,56.62,1091
241067,56.62,759
241477,56.59,807
243156,56.58,983
228664,56.58,1167
245715,56.55,1148
224981,56.55,592
240172,56.54,723
53352,56.54,958
239042,56.54,1098
245577,56.53,635
229378,56.52,874
211305,56.49,824
235702,56.49,678
183142,56.42,891
164645,56.39,801
236471,56.38,909
222081,56.38,1032
234107,56.37,896
242875,56.36,911
244416,56.35,680
239570,56.34,919
237139,56.32,640
229279,56.32,973
228339,56.31,999
224526,56.3,1007
243021,56.29,810
244644,56.27,974
197164,56.23,802
234139,56.23,1040
226025,56.23,1051
227278,56.21,1144
241283,56.21,899
219886,56.2,997
244953,56.2,986
227515,56.19,910
243931,56.19,988
228381,56.18,1064
211597,56.17,834
232465,56.17,711
243510,56.16,728
197597,56.15,989
245595,56.15,816
238852,56.15,935
189811,56.12,894
242595,56.1,670
228799,56.09,1143
224554,56.07,1013
241963,56.04,1068
213690,56.03,1142
241058,56.02,905
236657,56.0,961
236375,55.98,1024
212133,55.95,975
198891,55.92,1203
233772,55.92,803
230583,55.89,850
244689,55.88,1230
233544,55.84,1019
242401,55.84,992
221974,55.79,1062
243271,55.73,887
227855,55.72,1008
235422,55.7,904
218381,55.7,1006
233048,55.7,1123
241304,55.67,1252
240025,55.65,1092
245598,55.62,956
232919,55.61,781
242470,55.59,1067
242104,55.57,1141
221874,55.57,979
228239,55.56,1184
241938,55.56,940
212964,55.55,925
237379,55.54,1074
216699,55.51,569
233092,55.51,964
235537,55.49,877
207509,55.49,903
236653,55.48,1086
239355,55.47,1002
184801,55.46,1050
238225,55.44,571
237279,55.41,1102
204180,55.41,751
234319,55.4,1076
236379,55.37,1081
244480,55.3,1058
234259,55.29,1162
243744,55.28,1011
222469,55.24,936
245992,55.23,929
234507,55.22,1060
212532,55.2,1014
245253,55.2,1059
245393,55.2,969
239926,55.18,1118
246042,55.17,1116
224620,55.16,1029
232531,55.15,953
235476,55.14,859
243525,55.11,951
241982,55.08,1244
231752,55.05,1075
242600,55.04,1096
243922,54.98,1147
236960,54.98,1094
243943,54.96,1106
240221,54.96,820
244047,54.96,812
241809,54.96,662
238461,54.94,830
245705,54.94,1046
243670,54.94,1100
234066,54.92,1169
232878,54.91,1191
228657,54.9,1069
242936,54.89,702
246070,54.89,1016
